imgnum;imgpath;code;cause;type;organisme;confirmed;train_test_set;date;hour;artist;day_obs_count;subid
Idf02709;../data/Bousset_data/Images/Alt/Idf02709.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;09:34:39;nan;12;Alternaria brassicicola, A. brasicae
Idf02840;../data/Bousset_data/Images/Alt/Idf02840.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:11:34;nan;12;Alternaria brassicicola, A. brasicae
Idf02878;../data/Bousset_data/Images/Alt/Idf02878.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:20:57;nan;12;Alternaria brassicicola, A. brasicae
Idf02885;../data/Bousset_data/Images/Alt/Idf02885.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:22:02;nan;12;Alternaria brassicicola, A. brasicae
Idf02886;../data/Bousset_data/Images/Alt/Idf02886.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:22:14;nan;12;Alternaria brassicicola, A. brasicae
Idf02887;../data/Bousset_data/Images/Alt/Idf02887.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:22:20;nan;12;Alternaria brassicicola, A. brasicae
Idf02888;../data/Bousset_data/Images/Alt/Idf02888.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:22:22;nan;12;Alternaria brassicicola, A. brasicae
Idf02890;../data/Bousset_data/Images/Alt/Idf02890.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:22:34;nan;12;Alternaria brassicicola, A. brasicae
Idf02891;../data/Bousset_data/Images/Alt/Idf02891.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:22:47;nan;12;Alternaria brassicicola, A. brasicae
Idf02893;../data/Bousset_data/Images/Alt/Idf02893.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:23:10;nan;12;Alternaria brassicicola, A. brasicae
Idf02894;../data/Bousset_data/Images/Alt/Idf02894.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:23:16;nan;12;Alternaria brassicicola, A. brasicae
Idf02895;../data/Bousset_data/Images/Alt/Idf02895.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:23:19;nan;12;Alternaria brassicicola, A. brasicae
Idf02896;../data/Bousset_data/Images/Alt/Idf02896.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:03:21;10:23:31;nan;12;Alternaria brassicicola, A. brasicae
Idf03901;../data/Bousset_data/Images/Alt/Idf03901.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:05;15:52:10;nan;12;Alternaria brassicicola, A. brasicae
Idf03902;../data/Bousset_data/Images/Alt/Idf03902.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:05;15:52:13;nan;12;Alternaria brassicicola, A. brasicae
Idf04019;../data/VAULT/Bousset_data/Images/Alt/Idf04019.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;12:55:14;nan;12;Alternaria brassicicola, A. brasicae
Idf04022;../data/VAULT/Bousset_data/Images/Alt/Idf04022.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;12:55:28;nan;12;Alternaria brassicicola, A. brasicae
Idf04091;../data/VAULT/Bousset_data/Images/Alt/Idf04091.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;13:09:24;nan;12;Alternaria brassicicola, A. brasicae
Idf04162;../data/VAULT/Bousset_data/Images/Alt/Idf04162.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:35:49;nan;12;Alternaria brassicicola, A. brasicae
Idf04166;../data/VAULT/Bousset_data/Images/Alt/Idf04166.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:36:18;nan;12;Alternaria brassicicola, A. brasicae
Idf04232;../data/VAULT/Bousset_data/Images/Alt/Idf04232.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:47:08;nan;12;Alternaria brassicicola, A. brasicae
Idf04233;../data/VAULT/Bousset_data/Images/Alt/Idf04233.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:47:20;nan;12;Alternaria brassicicola, A. brasicae
Idf04234;../data/VAULT/Bousset_data/Images/Alt/Idf04234.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:47:25;nan;12;Alternaria brassicicola, A. brasicae
Idf04243;../data/VAULT/Bousset_data/Images/Alt/Idf04243.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:48:58;nan;12;Alternaria brassicicola, A. brasicae
Idf04244;../data/VAULT/Bousset_data/Images/Alt/Idf04244.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:49:10;nan;12;Alternaria brassicicola, A. brasicae
Idf04245;../data/VAULT/Bousset_data/Images/Alt/Idf04245.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:49:16;nan;12;Alternaria brassicicola, A. brasicae
Idf04247;../data/VAULT/Bousset_data/Images/Alt/Idf04247.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:49:24;nan;12;Alternaria brassicicola, A. brasicae
Idf04249;../data/VAULT/Bousset_data/Images/Alt/Idf04249.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:49:40;nan;12;Alternaria brassicicola, A. brasicae
Idf04251;../data/VAULT/Bousset_data/Images/Alt/Idf04251.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:49:57;nan;12;Alternaria brassicicola, A. brasicae
Idf04252;../data/VAULT/Bousset_data/Images/Alt/Idf04252.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:50:03;nan;12;Alternaria brassicicola, A. brasicae
Idf04256;../data/VAULT/Bousset_data/Images/Alt/Idf04256.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:50:49;nan;12;Alternaria brassicicola, A. brasicae
Idf04266;../data/VAULT/Bousset_data/Images/Alt/Idf04266.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:53:14;nan;12;Alternaria brassicicola, A. brasicae
Idf04268;../data/VAULT/Bousset_data/Images/Alt/Idf04268.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:53:38;nan;12;Alternaria brassicicola, A. brasicae
Idf04269;../data/VAULT/Bousset_data/Images/Alt/Idf04269.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:53:50;nan;12;Alternaria brassicicola, A. brasicae
Idf04270;../data/VAULT/Bousset_data/Images/Alt/Idf04270.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:53:57;nan;12;Alternaria brassicicola, A. brasicae
Idf04271;../data/VAULT/Bousset_data/Images/Alt/Idf04271.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:54:07;nan;12;Alternaria brassicicola, A. brasicae
Idf04272;../data/VAULT/Bousset_data/Images/Alt/Idf04272.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:54:17;nan;12;Alternaria brassicicola, A. brasicae
Idf04273;../data/VAULT/Bousset_data/Images/Alt/Idf04273.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:54:23;nan;12;Alternaria brassicicola, A. brasicae
Idf04274;../data/VAULT/Bousset_data/Images/Alt/Idf04274.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:54:53;nan;12;Alternaria brassicicola, A. brasicae
Idf04275;../data/VAULT/Bousset_data/Images/Alt/Idf04275.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:55:07;nan;12;Alternaria brassicicola, A. brasicae
Idf04276;../data/VAULT/Bousset_data/Images/Alt/Idf04276.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:55:22;nan;12;Alternaria brassicicola, A. brasicae
Idf04277;../data/VAULT/Bousset_data/Images/Alt/Idf04277.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:55:35;nan;12;Alternaria brassicicola, A. brasicae
Idf04278;../data/VAULT/Bousset_data/Images/Alt/Idf04278.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:55:39;nan;12;Alternaria brassicicola, A. brasicae
Idf04281;../data/VAULT/Bousset_data/Images/Alt/Idf04281.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:55:50;nan;12;Alternaria brassicicola, A. brasicae
Idf04282;../data/VAULT/Bousset_data/Images/Alt/Idf04282.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:55:59;nan;12;Alternaria brassicicola, A. brasicae
Idf04283;../data/VAULT/Bousset_data/Images/Alt/Idf04283.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:56:02;nan;12;Alternaria brassicicola, A. brasicae
Idf04284;../data/VAULT/Bousset_data/Images/Alt/Idf04284.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:56:08;nan;12;Alternaria brassicicola, A. brasicae
Idf04285;../data/VAULT/Bousset_data/Images/Alt/Idf04285.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:56:12;nan;12;Alternaria brassicicola, A. brasicae
Idf04286;../data/VAULT/Bousset_data/Images/Alt/Idf04286.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:56:29;nan;12;Alternaria brassicicola, A. brasicae
Idf04288;../data/VAULT/Bousset_data/Images/Alt/Idf04288.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:57:10;nan;12;Alternaria brassicicola, A. brasicae
Idf04289;../data/VAULT/Bousset_data/Images/Alt/Idf04289.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;vault;2023:04:06;15:57:25;nan;12;Alternaria brassicicola, A. brasicae
Idf04542;../data/Bousset_data/Images/Alt/Idf04542.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:11:45;nan;12;Alternaria brassicicola, A. brasicae
Idf04543;../data/Bousset_data/Images/Alt/Idf04543.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:11:56;nan;12;Alternaria brassicicola, A. brasicae
Idf04544;../data/Bousset_data/Images/Alt/Idf04544.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:12:06;nan;12;Alternaria brassicicola, A. brasicae
Idf04552;../data/Bousset_data/Images/Alt/Idf04552.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:21;nan;12;Alternaria brassicicola, A. brasicae
Idf04553;../data/Bousset_data/Images/Alt/Idf04553.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:27;nan;12;Alternaria brassicicola, A. brasicae
Idf04554;../data/Bousset_data/Images/Alt/Idf04554.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:32;nan;12;Alternaria brassicicola, A. brasicae
Idf04555;../data/Bousset_data/Images/Alt/Idf04555.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:39;nan;12;Alternaria brassicicola, A. brasicae
Idf04556;../data/Bousset_data/Images/Alt/Idf04556.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:41;nan;12;Alternaria brassicicola, A. brasicae
Idf04557;../data/Bousset_data/Images/Alt/Idf04557.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:47;nan;12;Alternaria brassicicola, A. brasicae
Idf04558;../data/Bousset_data/Images/Alt/Idf04558.jpg;Alt;Alternariose;Champignon;Alternaria brassicicola, A. brasicae;1;train;2023:04:20;14:13:52;nan;12;Alternaria brassicicola, A. brasicae
