imgnum;imgpath;crop;code;train_test_set;is_PV
plant_69422;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69422.jpg;Apple;Alternaria Blotch;train;False
plant_69423;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69423.jpg;Apple;Alternaria Blotch;train;False
plant_69424;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69424.jpg;Apple;Alternaria Blotch;train;False
plant_69425;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69425.jpg;Apple;Alternaria Blotch;train;False
plant_69426;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69426.jpg;Apple;Alternaria Blotch;train;False
plant_69427;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69427.jpg;Apple;Alternaria Blotch;train;False
plant_69428;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69428.jpg;Apple;Alternaria Blotch;train;False
plant_69429;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69429.jpg;Apple;Alternaria Blotch;train;False
plant_69430;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69430.jpg;Apple;Alternaria Blotch;train;False
plant_69431;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69431.jpg;Apple;Alternaria Blotch;train;False
plant_69432;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69432.jpg;Apple;Alternaria Blotch;train;False
plant_69433;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69433.jpg;Apple;Alternaria Blotch;train;False
plant_69434;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69434.jpg;Apple;Alternaria Blotch;train;False
plant_69435;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69435.jpg;Apple;Alternaria Blotch;train;False
plant_69436;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69436.jpg;Apple;Alternaria Blotch;train;False
plant_69437;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69437.jpg;Apple;Alternaria Blotch;train;False
plant_69438;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69438.jpg;Apple;Alternaria Blotch;train;False
plant_69439;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69439.jpg;Apple;Alternaria Blotch;train;False
plant_69440;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69440.jpg;Apple;Alternaria Blotch;train;False
plant_69441;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69441.jpg;Apple;Alternaria Blotch;train;False
plant_69442;../data/CDDM_data/Images/Apple,Alternaria Blotch/plant_69442.jpg;Apple;Alternaria Blotch;train;False
