subid;EPPO_map;EPPO_final;iName
Avoine_0_Saines;****NOT FOUND*****;****NOT FOUND*****;Avoine_0_Saines
Avoine_Oïdium;ERYSGA;ERYSGA;Avoine_Oïdium
Avoine_Rouille couronnée;PUCCCA;PUCCCA;Avoine_Rouille couronnée
Avoine_Virus JNO;BYDV00;BYDV00;Avoine_Virus JNO
Blé_0_Saines;****NOT FOUND*****;****NOT FOUND*****;Blé_0_Saines
Blé_Oïdium;ERYSGT;ERYSGT;Blé_Oïdium
Blé_Rouille brune;PUCCRE;PUCCRE;Blé_Rouille brune
Blé_Rouille jaune;PUCCST;PUCCST;Blé_Rouille jaune
Blé_Rouille noire;PUCCGR;PUCCGR;Blé_Rouille noire
Blé_Septoriose;SEPPTR;SEPPTR;Blé_Septoriose
Blé_Virus JNO;BYDV00;BYDV00;Blé_Virus JNO
Colza_Botrytis;BOTRCI;BOTRCI;Colza_Botrytis
Féverole_0_Pas_champi;****NOT FOUND*****;****NOT FOUND*****;Féverole_0_Pas_champi
Féverole_0_Saines;****NOT FOUND*****;****NOT FOUND*****;Féverole_0_Saines
Féverole_Ascochytose;ASCOFA;ASCOFA;Féverole_Ascochytose
Féverole_Botrytis;BOTRFA;BOTRFA;Féverole_Botrytis
Féverole_Cercosporiose;CERCOZO;CERCOZO;Féverole_Cercosporiose
Féverole_Mildiou;PEROVI;PEROVI;Féverole_Mildiou
Féverole_Rouille;UROMVF;UROMVF;Féverole_Rouille
Féverole_Virus;1VIUUD ;1VIUUD ;Féverole_Virus
Orge_0_Saines;****NOT FOUND*****;****NOT FOUND*****;Orge_0_Saines
Orge_Helminthosporiose;PYRNTE;PYRNTE;Orge_Helminthosporiose
Orge_Oïdium;ERYSGH;ERYSGH;Orge_Oïdium
Orge_Rhynchosporiose;RHYNGR;RHYNGR;Orge_Rhynchosporiose
Orge_Rouille naine;PUCCHD;PUCCHD;Orge_Rouille naine
Orge_Septoriose;SEPPTR;SEPPTR;Orge_Septoriose
Orge_Virus JNO;BYDV00;BYDV00;Orge_Virus JNO
Pomme de terre_0_Pas_Maladie;****NOT FOUND*****;****NOT FOUND*****;Pomme de terre_0_Pas_Maladie
Pomme de terre_0_Saines;****NOT FOUND*****;****NOT FOUND*****;Pomme de terre_0_Saines
Pomme de terre_Carence;****NOT FOUND*****;****NOT FOUND*****;Pomme de terre_Carence
Pomme de terre_Mildiou;PHYTIN;PHYTIN;Pomme de terre_Mildiou
Pomme de terre_Virus;1VIUUD ;1VIUUD ;Pomme de terre_Virus
Tournesol_0_Saines;****NOT FOUND*****;****NOT FOUND*****;Tournesol_0_Saines
Tournesol_Alternaria;ALTEHE;ALTEHE;Tournesol_Alternaria
Tournesol_Phoma;LEPTLI;LEPTLI;Tournesol_Phoma
Tournesol_Phomopsis;DIAPHE;DIAPHE;Tournesol_Phomopsis
Tournesol_Virus;1VIUUD ;1VIUUD ;Tournesol_Virus
Triticale_0_Saines;****NOT FOUND*****;****NOT FOUND*****;Triticale_0_Saines
Triticale_Oïdium;ERYSGR;ERYSGR;Triticale_Oïdium
Triticale_Rhynchosporiose;RHYNSE;RHYNSE;Triticale_Rhynchosporiose
Triticale_Rouille brune;PUCCRE;PUCCRE;Triticale_Rouille brune
Triticale_Rouille jaune;PUCCST;PUCCST;Triticale_Rouille jaune
Triticale_Rouille noire;PUCCGR;PUCCGR;Triticale_Rouille noire
Triticale_Septoriose;SEPPTR;SEPPTR;Triticale_Septoriose
Triticale_Virus JNO;BYDV00;BYDV00;Triticale_Virus JNO
