imgnum;baseimgurl;sub_name;scientificName;cat;autid;subid;photographer;dateAc;commonName;species;genus;family;imgpath;syn;host_subid;name_infered_organ_class;is_dup;train_test_set
355005;//bugwoodcloud.org/images/;air pollutants;;cat=1;1;758;Robert L. Anderson;1995-06-15T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/0355005.jpg;;;branch;False;train
355006;//bugwoodcloud.org/images/;air pollutants;;cat=1;1;758;Robert L. Anderson;1995-06-15T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/0355006.jpg;;;scan;False;train
364092;//bugwoodcloud.org/images/;air pollutants;;cat=1;1;758;Robert L. Anderson;1995-06-15T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/0364092.jpg;;;leaf;False;train
364093;//bugwoodcloud.org/images/;air pollutants;;cat=1;1;758;Robert L. Anderson;1995-06-15T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/0364093.jpg;;6921.0;leaf;False;train
1398007;//bugwoodcloud.org/images/;air pollutants;;cat=1;28304;758;USDA Forest Service - Northeastern Area ;2005-09-07T10:21:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1398007.jpg;;2762.0;habit;False;train
1428016;//bugwoodcloud.org/images/;air pollutants;;cat=1;126;758;William M. Ciesla;2002-07-09T11:40:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1428016.jpg;;9209.0;leaf;False;train
1442024;//bugwoodcloud.org/images/;air pollutants;;cat=1;3342;758;USDA Forest Service - Region 2 - Rocky Mountain Region ;1990-01-01T00:00:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1442024.jpg;;3217.0;leaf;False;train
1467217;//bugwoodcloud.org/images/;air pollutants;;cat=1;35059;758;USDA Forest Service -  Forest Health Protection Intermountain Region - Ogden, UT ;2006-07-07T15:06:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1467217.jpg;;2217.0;habit;False;train
1467218;//bugwoodcloud.org/images/;air pollutants;;cat=1;35059;758;USDA Forest Service -  Forest Health Protection Intermountain Region - Ogden, UT ;2006-07-07T15:06:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1467218.jpg;;2217.0;habit;False;train
1467219;//bugwoodcloud.org/images/;air pollutants;;cat=1;35059;758;USDA Forest Service -  Forest Health Protection Intermountain Region - Ogden, UT ;2006-07-07T15:06:00;air pollutants;;;Other abiotic damage;../data/IPM_data/Images/Other Damage Agents - Abiotic Damage/air pollutants_nan/1467219.jpg;;2217.0;fruit;False;train
