imgnum;imgpath;crop;code_x;key;Species;EPPO_map;Organisme;code_y;Notes;train_test_set;code;date;hour;artist;day_obs_count;subid
Iav00038;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00038.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:04:15;13:52:53;nan;23;Avoine_0_Saines
Iav00049;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00049.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:04:15;13:57:33;nan;23;Avoine_0_Saines
Iav00050;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00050.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:04:15;13:57:35;nan;23;Avoine_0_Saines
Iav00051;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00051.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:04:15;13:57:46;nan;23;Avoine_0_Saines
Iav00088;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00088.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:04:22;14:03:25;nan;23;Avoine_0_Saines
Iav00123;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00123.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:05:03;13:37:55;nan;23;Avoine_0_Saines
Iav00124;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00124.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:05:03;13:38:03;nan;23;Avoine_0_Saines
Iav00125;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00125.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:05:03;13:38:05;nan;23;Avoine_0_Saines
Iav00126;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00126.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:05:03;13:38:07;nan;23;Avoine_0_Saines
Iav00169;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00169.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:05:23;12:25:02;nan;23;Avoine_0_Saines
Iav00170;../data/Bousset2_data/Images/Avoine/0_Saines/Iav00170.jpg;Avoine;0_Saines;Avoine_0_Saines;Avoine;;;0_Saines;Asymptomatiques;train;0_Saines;2024:05:23;12:25:05;nan;23;Avoine_0_Saines
Iav00021;../data/Bousset2_data/Images/Avoine/Oïdium/Iav00021.jpg;Avoine;Oïdium;Avoine_Oïdium;Avoine;ERYSGA;Blumeria graminis f.sp avenae;Oïdium;;train;Oïdium;2024:04:15;13:48:43;nan;14;Avoine_Oïdium
