cause;organisme;EPPO code;rename;EPPO code;Hand mapped EPPO code;EPPO_final;iName
Alternariose;Alternaria brassicicola, A. brasicae;****NOT FOUND*****;Alternaria brassicicola, A. brasicae;****NOT FOUND*****;ALTEBA;ALTEBA;Alternaria brassicicola, A. brasicae
Phoma;Leptosphaeria biglobosa;LEPTBG;Leptosphaeria biglobosa;LEPTBG;;LEPTBG;Leptosphaeria biglobosa
Virus du rabourgrissement du navet;Turnip Crincle virus;****NOT FOUND*****;Turnip crinkle virus;TCV000;;TCV000;Turnip Crincle virus
Cylindrosporiose;Pyrenopeziza brassicae;PYRPBR;Pyrenopeziza brassicae;PYRPBR;;PYRPBR;Pyrenopeziza brassicae
Phoma;Leptospheria maculans;****NOT FOUND*****;Leptosphaeria maculans;LEPTMA;;LEPTMA;Leptospheria maculans
Asymptomatiques;Aucun;****NOT FOUND*****;Aucun;****NOT FOUND*****;;****NOT FOUND*****;Aucun
Bactériose ou toxicité;Indéterminé;****NOT FOUND*****;Indéterminé;****NOT FOUND*****;;****NOT FOUND*****;Indéterminé
Mildiou;Hyaloperonospora parasitica;PEROPA;Hyaloperonospora parasitica;PEROPA;;PEROPA;Hyaloperonospora parasitica
Mycosphaerella;Mycosphaerella brassicae;****NOT FOUND*****;Mycosphaerella brassicicola;MYCOBR;;MYCOBR;Mycosphaerella brassicae
Oïdium;Erysiphe cruciferarum;ERYSCR;Erysiphe cruciferarum;ERYSCR;;ERYSCR;Erysiphe cruciferarum
Pseudo;Pseudocercosporella capsellae;PSDCCA;Pseudocercosporella capsellae;PSDCCA;;PSDCCA;Pseudocercosporella capsellae
Virus de la jaunisse du navet;Turnip Yellow Mosaic Virus;TYMV00;Turnip Yellow Mosaic Virus;TYMV00;TUYV00;TUYV00;Turnip Yellow Mosaic Virus
Virose;Non discriminés;****NOT FOUND*****;Non discriminés;****NOT FOUND*****;1VIUUD;1VIUUD;Non discriminés
Bactériose à Xanthomonas;Xanthomonas campestris pv. Campestris;XANTCA;Xanthomonas campestris pv. Campestris;XANTCA;;XANTCA;Xanthomonas campestris pv. Campestris
Toxicité;Produit chimique ou adjuvant;****NOT FOUND*****;Produit chimique ou adjuvant;****NOT FOUND*****;TXPEXX;TXPEXX;Produit chimique ou adjuvant
