iName;EPPO_final;EPPO_degradated
53;****NOT FOUND*****;HYESSP
11141;PSDPPR;PSDPPR
60657;****NOT FOUND*****;****NOT FOUND*****
75014;****NOT FOUND*****;****NOT FOUND*****
506;BOTRCI;BOTRCI
519;HETEAN;HETEAN
664;****NOT FOUND*****;CIBOSP
660;LIRLSP;LIRLSP
875;FISTHE;FISTHE
3527;****NOT FOUND*****;INONSP
4063;****NOT FOUND*****;OPHSSP
4978;PHYTFR;PHYTFR
7049;PHYORH;PHYORH
6997;TVMV00;TVMV00
7154;OFV000;OFV000
13464;GUIGAE;GUIGAE
9660;****NOT FOUND*****;****NOT FOUND*****
60724;****NOT FOUND*****;****NOT FOUND*****
16869;MELASM;MELASM
8146;BRAYNO;BRAYNO
57147;AMANHE;AMANHE
60751;****NOT FOUND*****;****NOT FOUND*****
63565;****NOT FOUND*****;****NOT FOUND*****
11138;PSDMPE;PSDMPE
8204;TOXOGR;TOXOGR
62575;****NOT FOUND*****;ANSTSP
16949;ACLDSP;ACLDSP
62899;****NOT FOUND*****;****NOT FOUND*****
60683;****NOT FOUND*****;****NOT FOUND*****
78460;****NOT FOUND*****;****NOT FOUND*****
75005;****NOT FOUND*****;GLENSP
78682;****NOT FOUND*****;****NOT FOUND*****
15082;****NOT FOUND*****;****NOT FOUND*****
61160;****NOT FOUND*****;****NOT FOUND*****
74894;****NOT FOUND*****;****NOT FOUND*****
2788;****NOT FOUND*****;****NOT FOUND*****
74998;****NOT FOUND*****;****NOT FOUND*****
78634;****NOT FOUND*****;****NOT FOUND*****
10911;LYMADA;LYMADA
303;PSECVI;PSECVI
11946;PRFETH;PRFETH
78638;****NOT FOUND*****;****NOT FOUND*****
75096;****NOT FOUND*****;BLEFSP
13504;****NOT FOUND*****;ACEISP
78559;****NOT FOUND*****;****NOT FOUND*****
11255;LIRISP;LIRISP
60456;AMBDCO;AMBDCO
62663;****NOT FOUND*****;ANSTSP
15206;****NOT FOUND*****;****NOT FOUND*****
881;GOESTI;GOESTI
16877;****NOT FOUND*****;1AONMG
72025;****NOT FOUND*****;****NOT FOUND*****
65798;****NOT FOUND*****; EUDOSP
63775;ARCHOC;ARCHOC
59001;DIABSP;DIABSP
84714;****NOT FOUND*****;ACRNSP
4059;LYMAMO;LYMAMO
62404;****NOT FOUND*****;****NOT FOUND*****
56552;XANTBE;XANTBE
84563;****NOT FOUND*****;****NOT FOUND*****
86549;****NOT FOUND*****;ACRNSP
75075;****NOT FOUND*****;****NOT FOUND*****
60945;XYTHFL;XYTHFL
953;PHYTSP;PHYTSP
10163;PTOSFL;PTOSFL
17812;PEROHR;PEROHR
78767;****NOT FOUND*****; CRNESP
14993;BOTSSP;BOTSSP
11942;****NOT FOUND*****;****NOT FOUND*****
85044;****NOT FOUND*****;****NOT FOUND*****
74886;****NOT FOUND*****;****NOT FOUND*****
23171;SPHOSP;SPHOSP
20317;PUCCLN;PUCCLN
105052;****NOT FOUND*****;****NOT FOUND*****
63161;DERLAL;DERLAL
15140;****NOT FOUND*****;PYRGSP
15263;****NOT FOUND*****;YATSS
56934;****NOT FOUND*****;****NOT FOUND*****
77318;****NOT FOUND*****;ACUPSP
60691;****NOT FOUND*****;****NOT FOUND*****
63525;****NOT FOUND*****;****NOT FOUND*****
76911;XYLOCH;XYLOCH
4196;MPLTFL;MPLTFL
3469;INONRI;INONRI
4601;LYMAMA;LYMAMA
18801;ZYGGDI;ZYGGDI
832;CECISP;CECISP
63522;****NOT FOUND*****;ANPDSP
106094;MCRSVA;MCRSVA
11340;****NOT FOUND*****;HYASSP
2160;SAPEIN;SAPEIN
8097;ALTHFL;ALTHFL
78592;****NOT FOUND*****;****NOT FOUND*****
13431;****NOT FOUND*****;****NOT FOUND*****
4241;CEUTCS;CEUTCS
63299;****NOT FOUND*****;PSISSP
20961;PEZZRE;PEZZRE
11743;GASTGR;GASTGR
8308;AONDCI;AONDCI
21188;****NOT FOUND*****;****NOT FOUND*****
