Name_PN;EPPO_code;rename;New_name_PN;****NOT FOUND*****;Handmapped EPPO;EPPO_final;iName
acari spp;****NOT FOUND*****;tetranychus sp.;tetranychus sp.;TETRSP;;TETRSP;acari_spp
accident climatique;****NOT FOUND*****;;accident climatique;****NOT FOUND*****;;****NOT FOUND*****;accident_climatique
acrolepiopsis assectella;ACROAS;;acrolepiopsis assectella;ACROAS;;ACROAS;acrolepiopsis_assectella
aculops lycopersici;VASALY;;aculops lycopersici;VASALY;;VASALY;aculops_lycopersici
adventice;****NOT FOUND*****;;adventice;****NOT FOUND*****;TTTTT;TTTTT;adventice
agrobacterium tumefasciens;****NOT FOUND*****;Agrobacterium tumefaciens;Agrobacterium tumefaciens;AGRBTU;;AGRBTU;agrobacterium_tumefasciens
agrotis sp;****NOT FOUND*****;agrotis sp.;agrotis sp.;AGROSP;;AGROSP;agrotis_sp
albugo candida;ALBUCA;;albugo candida;ALBUCA;;ALBUCA;albugo_candida
alternaria alternata;ALTEAL;;alternaria alternata;ALTEAL;;ALTEAL;alternaria_alternata
alternaria cichorii;ALTECC;;alternaria cichorii;ALTECC;;ALTECC;alternaria_cichorii
alternaria dauci;ALTEDA;;alternaria dauci;ALTEDA;;ALTEDA;alternaria_dauci
alternaria linariae;ALTETP;;alternaria linariae;ALTETP;;ALTETP;alternaria_linariae
alternaria porri;ALTEPO;;alternaria porri;ALTEPO;;ALTEPO;alternaria_porri
alternaria radicina;ALTERA;;alternaria radicina;ALTERA;;ALTERA;alternaria_radicina
alternaria spp;****NOT FOUND*****;alternaria sp.;alternaria sp.;ALTESP;;ALTESP;alternaria_spp
amv;AMV000;;amv;AMV000;;AMV000;amv
anomalie genetique;****NOT FOUND*****;;anomalie genetique;****NOT FOUND*****;;****NOT FOUND*****;anomalie_genetique
aphelenchoides fragariae;APLOFR;;aphelenchoides fragariae;APLOFR;;APLOFR;aphelenchoides_fragariae
aphelenchoides ritzemabosi;APLORI;;aphelenchoides ritzemabosi;APLORI;;APLORI;aphelenchoides_ritzemabosi
aphis spp;****NOT FOUND*****;aphis sp.;aphis sp.;APHISP;;APHISP;aphis_spp
argyrotaenia ljungiana;ARGTPU;;argyrotaenia ljungiana;ARGTPU;;ARGTPU;argyrotaenia_ljungiana
armillaria mellea;ARMIME;;armillaria mellea;ARMIME;;ARMIME;armillaria_mellea
aschochyta spp;****NOT FOUND*****;Ascochyta sp. ;Ascochyta sp. ;ASCOSP;;ASCOSP;aschochyta_spp
aspergillus spp;****NOT FOUND*****;aspergillus sp.;aspergillus sp.;ASPESP;;ASPESP;aspergillus_spp
asphyxie racinaire;****NOT FOUND*****;;asphyxie racinaire;****NOT FOUND*****;;****NOT FOUND*****;asphyxie_racinaire
athelia rolfsii;SCLORO;;athelia rolfsii;SCLORO;;SCLORO;athelia_rolfsii
aureobasidium pullulans;AUREPU;;aureobasidium pullulans;AUREPU;;AUREPU;aureobasidium_pullulans
bemisia tabaci;BEMITA;;bemisia tabaci;BEMITA;;BEMITA;bemisia_tabaci
boeremia exigua var exigua;****NOT FOUND*****;Boeremia exigua var. exigua;Boeremia exigua var. exigua;PHOMEX;;PHOMEX;boeremia_exigua_var_exigua
botryosporium spp;****NOT FOUND*****;;botryosporium spp;****NOT FOUND*****;;****NOT FOUND*****;botryosporium_spp
botrytis cinerea;BOTRCI;;botrytis cinerea;BOTRCI;;BOTRCI;botrytis_cinerea
botrytis spp;****NOT FOUND*****;botrytis sp.;botrytis sp.;BOTRSP;;BOTRSP;botrytis_spp
botrytis squamosa;SCLESQ;;botrytis squamosa;SCLESQ;;SCLESQ;botrytis_squamosa
bremia lactucae;BREMLA;;bremia lactucae;BREMLA;;BREMLA;bremia_lactucae
brulure solaire;****NOT FOUND*****;;brulure solaire;****NOT FOUND*****;;****NOT FOUND*****;brulure_solaire
bwyv;BWYV00;;bwyv;BWYV00;;BWYV00;bwyv
byctiscus betulae;BYCTBE;;byctiscus betulae;BYCTBE;;BYCTBE;byctiscus_betulae
cabyv;CABYV0;;cabyv;CABYV0;;CABYV0;cabyv
calepitrimerus vitis;PHYCVI;;calepitrimerus vitis;PHYCVI;;PHYCVI;calepitrimerus_vitis
candidatus phytoplasma solani;****NOT FOUND*****;Candidatus Phytoplasma solani';Candidatus Phytoplasma solani';****NOT FOUND*****; PHYPSO;PHYPSO;candidatus_phytoplasma_solani
candidatus phytoplasma spp;****NOT FOUND*****;;candidatus phytoplasma spp;****NOT FOUND*****; PHYPSO;PHYPSO;candidatus_phytoplasma_spp
carence;****NOT FOUND*****;;carence;****NOT FOUND*****;;****NOT FOUND*****;carence
cat face;****NOT FOUND*****;;cat face;****NOT FOUND*****;;****NOT FOUND*****;cat_face
cemv;CEMV00;;cemv;CEMV00;;CEMV00;cemv
cercospora beticola;CERCBE;;cercospora beticola;CERCBE;;CERCBE;cercospora_beticola
cercospora carotae;CERCCA;;cercospora carotae;CERCCA;;CERCCA;cercospora_carotae
cercospora longissima;****NOT FOUND*****;cercospora leaf spot of lettuce;cercospora leaf spot of lettuce;CERCLS;;CERCLS;cercospora_longissima
cercospora nicotianae;CERCNI;;cercospora nicotianae;CERCNI;;CERCNI;cercospora_nicotianae
cercospora spp;****NOT FOUND*****;cercospora sp.;cercospora sp.;CERCSP;;CERCSP;cercospora_spp
cgmmv;CGMMV0;;cgmmv;CGMMV0;;CGMMV0;cgmmv
chimere;****NOT FOUND*****;;chimere;****NOT FOUND*****;;****NOT FOUND*****;chimere
choanephora cucurbitacearum;****NOT FOUND*****;Choanephora cucurbitarum;Choanephora cucurbitarum;CHOACU;;CHOACU;choanephora_cucurbitacearum
choanephora cucurbitarum;CHOACU;;choanephora cucurbitarum;CHOACU;;CHOACU;choanephora_cucurbitarum
cladosporium cucumerinum;CLADCU;;cladosporium cucumerinum;CLADCU;;CLADCU;cladosporium_cucumerinum
cladosporium herbarum;MYCOTA;;cladosporium herbarum;MYCOTA;;MYCOTA;cladosporium_herbarum
cladosporium sp;****NOT FOUND*****;cladosporium sp.;cladosporium sp.;CLADSP;;CLADSP;cladosporium_sp
cladosporium spp;****NOT FOUND*****;cladosporium sp.;cladosporium sp.;CLADSP;;CLADSP;cladosporium_spp
cladosporium variabile;CLADVA;;cladosporium variabile;CLADVA;;CLADVA;cladosporium_variabile
clavibacter michiganensis;CORBMI;;clavibacter michiganensis;CORBMI;;CORBMI;clavibacter_michiganensis
cmv;CMV000;;cmv;CMV000;;CMV000;cmv
coccoidea spp;****NOT FOUND*****;Coccidae;Coccidae;1COCCF;;1COCCF;coccoidea_spp
collet jaune;****NOT FOUND*****;;collet jaune;****NOT FOUND*****;;****NOT FOUND*****;collet_jaune
colletotrichum acutatum;COLLAC;;colletotrichum acutatum;COLLAC;;COLLAC;colletotrichum_acutatum
colletotrichum coccodes;COLLCC;;colletotrichum coccodes;COLLCC;;COLLCC;colletotrichum_coccodes
colletotrichum dematium f spinaciae;****NOT FOUND*****;colletotrichum dematium f. spinaciae;colletotrichum dematium f. spinaciae;COLLDS;;COLLDS;colletotrichum_dematium_f_spinaciae
colletotrichum orbiculare;COLLLA;;colletotrichum orbiculare;COLLLA;;COLLLA;colletotrichum_orbiculare
colletotrichum spp;****NOT FOUND*****;colletotrichum sp.;colletotrichum sp.;COLLSP;;COLLSP;colletotrichum_spp
colomerus vitis;ERPHVI;;colomerus vitis;ERPHVI;;ERPHVI;colomerus_vitis
coniella diplodiella;CONLDI;;coniella diplodiella;CONLDI;;CONLDI;coniella_diplodiella
corynespora cassiicola;CORYCA;;corynespora cassiicola;CORYCA;;CORYCA;corynespora_cassiicola
coulure;****NOT FOUND*****;;coulure;****NOT FOUND*****;;****NOT FOUND*****;coulure
cuscute sp;****NOT FOUND*****;Cuscuta sp.;Cuscuta sp.;CVCSS;****NOT FOUND*****;****NOT FOUND*****;cuscute_sp
cvyv;CVYV00;;cvyv;CVYV00;;CVYV00;cvyv
cylindrocarpon destructans;NECTRA;;cylindrocarpon destructans;NECTRA;;NECTRA;cylindrocarpon_destructans
cysdv;CYSDV0;;cysdv;CYSDV0;;CYSDV0;cysdv
daktulosphaira vitifoliae;VITEVI;;daktulosphaira vitifoliae;VITEVI;;VITEVI;daktulosphaira_vitifoliae
defaut nouaison;****NOT FOUND*****;;defaut nouaison;****NOT FOUND*****;;****NOT FOUND*****;defaut_nouaison
deperissement;****NOT FOUND*****;;deperissement;****NOT FOUND*****;;****NOT FOUND*****;deperissement
didymela bryoniae;****NOT FOUND*****;didymella bryoniae;didymella bryoniae;DIDYBR;;DIDYBR;didymela_bryoniae
didymella bryoniae;DIDYBR;;didymella bryoniae;DIDYBR;;DIDYBR;didymella_bryoniae
didymella lycopersici;DIDYLY;;didymella lycopersici;DIDYLY;;DIDYLY;didymella_lycopersici
ditylenchus dipsaci;DITYDI;;ditylenchus dipsaci;DITYDI;;DITYDI;ditylenchus_dipsaci
drosophila spp;****NOT FOUND*****;drosophila sp.;drosophila sp.;DROSSP;;DROSSP;drosophila_spp
eclatement;****NOT FOUND*****;;eclatement;****NOT FOUND*****;;****NOT FOUND*****;eclatement
eclatement du fruit;****NOT FOUND*****;;eclatement du fruit;****NOT FOUND*****;;****NOT FOUND*****;eclatement_du_fruit
elsinoe ampelina;ELSIAM;;elsinoe ampelina;ELSIAM;;ELSIAM;elsinoe_ampelina
emdv;EMDV00;;emdv;EMDV00;;EMDV00;emdv
empoasca vitis;EMPOFL;;empoasca vitis;EMPOFL;;EMPOFL;empoasca_vitis
enroulement;****NOT FOUND*****;;enroulement;****NOT FOUND*****;;****NOT FOUND*****;enroulement
eotetranychus carpini;EOTECA;;eotetranychus carpini;EOTECA;;EOTECA;eotetranychus_carpini
epicocum spp;****NOT FOUND*****;Epicoccum sp.;Epicoccum sp.;EPCCSP;;EPCCSP;epicocum_spp
epilachna argus;EPILAR;;epilachna argus;EPILAR;;EPILAR;epilachna_argus
erwinia tracheiphila;ERWITR;;erwinia tracheiphila;ERWITR;;ERWITR;erwinia_tracheiphila
erysiphe heracle;****NOT FOUND*****;Erysiphe heraclei;Erysiphe heraclei;ERYSHE;;ERYSHE;erysiphe_heracle
erysiphe necator;UNCINE;;erysiphe necator;UNCINE;;UNCINE;erysiphe_necator
erysiphe polygoni;ERYSBE;;erysiphe polygoni;ERYSBE;;ERYSBE;erysiphe_polygoni
esca;****NOT FOUND*****;esca de la vigne;esca de la vigne;PHMOCH;;PHMOCH;esca
escargot;****NOT FOUND*****;Gastropoda;Gastropoda;1GASTC;;1GASTC;escargot
fasciation;****NOT FOUND*****;;fasciation;****NOT FOUND*****;;****NOT FOUND*****;fasciation
fente de croissance;****NOT FOUND*****;;fente de croissance;****NOT FOUND*****;;****NOT FOUND*****;fente_de_croissance
foudre;****NOT FOUND*****;;foudre;****NOT FOUND*****;MELIGH;MELIGH;foudre
fourmis;****NOT FOUND*****;Formicidae;Formicidae;1FORMF;;1FORMF;fourmis
fruit mucrone;****NOT FOUND*****;;fruit mucrone;****NOT FOUND*****;;****NOT FOUND*****;fruit_mucrone
fumagine;CAPDSA;;fumagine;CAPDSA;;CAPDSA;fumagine
fusarium culmorum;FUSACU;;fusarium culmorum;FUSACU;;FUSACU;fusarium_culmorum
fusarium oxysporum f sp lactucae;****NOT FOUND*****;fusarium oxysporum f. sp. lactucae;fusarium oxysporum f. sp. lactucae;FUSALC;;FUSALC;fusarium_oxysporum_f_sp_lactucae
fusarium oxysporum f sp lycopersici;****NOT FOUND*****;fusarium oxysporum f. sp. lycopersici;fusarium oxysporum f. sp. lycopersici;FUSALY;;FUSALY;fusarium_oxysporum_f_sp_lycopersici
fusarium oxysporum f sp melongenae;****NOT FOUND*****;fusarium oxysporum f. sp. melongenae;fusarium oxysporum f. sp. melongenae;FUSAML;;FUSAML;fusarium_oxysporum_f_sp_melongenae
fusarium oxysporum f sp melonis;****NOT FOUND*****;fusarium oxysporum f. sp. melonis;fusarium oxysporum f. sp. melonis;FUSAME;;FUSAME;fusarium_oxysporum_f_sp_melonis
fusarium oxysporum f sp radicis lycopersici;****NOT FOUND*****;fusarium oxysporum f. sp. Radicis-lycopersici;fusarium oxysporum f. sp. Radicis-lycopersici;FUSARL;;FUSARL;fusarium_oxysporum_f_sp_radicis_lycopersici
fusarium solani f sp cucurbitae;****NOT FOUND*****;fusarium solani f. sp. cucurbitae;fusarium solani f. sp. cucurbitae;FUSASU;;FUSASU;fusarium_solani_f_sp_cucurbitae
fusarium spp;****NOT FOUND*****;fusarium sp.;fusarium sp.;FUSASP;;FUSASP;fusarium_spp
gel;****NOT FOUND*****;;gel;****NOT FOUND*****;MEFROS;MEFROS;gel
geotrichum candidum;GEOTCA;;geotrichum candidum;GEOTCA;;GEOTCA;geotrichum_candidum
germination interne;****NOT FOUND*****;;germination interne;****NOT FOUND*****;;****NOT FOUND*****;germination_interne
gflv;GFLV00;;gflv;GFLV00;;GFLV00;gflv
gloeosporium orbiculare;****NOT FOUND*****;Colletotrichum orbiculare;Colletotrichum orbiculare;COLLLA;;COLLLA;gloeosporium_orbiculare
golovinomyceces cichoracerum;****NOT FOUND*****;golovinomyces cichoracearum;golovinomyces cichoracearum;ERYSCI;;ERYSCI;golovinomyceces_cichoracerum
golovinomyces cichoracearum;ERYSCI;;golovinomyces cichoracearum;ERYSCI;;ERYSCI;golovinomyces_cichoracearum
golovinomyces cichoracearum var cichoracearum;****NOT FOUND*****;golovinomyces cichoracearum;golovinomyces cichoracearum;ERYSCI;;ERYSCI;golovinomyces_cichoracearum_var_cichoracearum
grele;****NOT FOUND*****;;grele;****NOT FOUND*****;MEHAIL;MEHAIL;grele
grillure physiologique;****NOT FOUND*****;;grillure physiologique;****NOT FOUND*****;;****NOT FOUND*****;grillure_physiologique
guignardia bidwellii;GUIGBI;;guignardia bidwellii;GUIGBI;;GUIGBI;guignardia_bidwellii
haematonectria haematococca;****NOT FOUND*****;Neocosmospora solani;Neocosmospora solani;FUSASO;;FUSASO;haematonectria_haematococca
helminthosporium solani;HELMSO;;helminthosporium solani;HELMSO;;HELMSO;helminthosporium_solani
hemiptera spp;****NOT FOUND*****;hemiptera;hemiptera;1HEMIO;;1HEMIO;hemiptera_spp
heteroptera spp;****NOT FOUND*****;heteroptera;heteroptera;1HETER;;1HETER;heteroptera_spp
intumescence;****NOT FOUND*****;;intumescence;****NOT FOUND*****;;****NOT FOUND*****;intumescence
lapin;ORYTCU;;lapin;ORYTCU;;ORYTCU;lapin
leptinotarsa decemlineata;LPTNDE;;leptinotarsa decemlineata;LPTNDE;;LPTNDE;leptinotarsa_decemlineata
